time,aperture:0,aperture:1,aperture:2,aperture:3,aperture:4,aperture:5,aperture:6,aperture:7,aperture:8,aperture:9,aperture:10,aperture:11,aperture:12,aperture:13,aperture:14,aperture:15,aperture:16
56696.530088535,44.46331906362326,1207.849478122449,154.82941702879918,766.891464486295,9480.365935100588,101.36935941950694,275.7873275924517,165.82804830486577,12061.83295056321,410.6515740140945,31.579171446640743,85.9529209745108,648.5843756879244,666.9866791245101,231.2122188509759,136.77435884739322,227.55084374375764
59234.67745517,53.84690331990001,1192.761351019337,155.7500688457482,743.7306007976125,9532.459255733627,91.4745701436478,259.3830628627598,155.70847110547658,12608.691510161361,391.41649466250726,22.150466872370316,78.26676798518632,643.9200756030094,636.5078256318466,226.5528601798974,134.3758087930578,220.46617400886686
58141.20612558,43.27873196433664,1197.5696227593767,157.47955905088122,751.7133961983416,9519.717491033845,99.12850219767537,282.49215922160306,155.25243558615253,6744.938490672291,468.89887574443475,29.650361423169215,80.20061071826046,643.3394507025955,654.0283293425341,214.2143765710811,125.05179752281778,224.61881454476764
58713.611754765,51.600051158121154,1178.3166480142806,147.7282723224048,739.2499578033069,9476.409232864165,98.91976875641735,278.17500889395353,163.44699490471152,7214.041041313995,424.3899557572156,45.998990859412004,78.92040575937651,637.0556472997398,639.4031864569417,219.03344394560088,137.49849780533646,233.06913892121503
57614.45064515,53.73387212786891,1183.3434966951047,159.51715359036697,748.3317162261857,9587.72674402312,98.12352488543789,269.20117649260726,156.04159660819917,14629.36081367954,345.87419966915405,27.575559703555882,85.63648417631312,653.1387262148944,665.4841216565687,230.11047253088668,131.1615847959058,222.71972936620938
59077.161755575,39.64503141236811,1187.342308085136,147.2246459121329,729.5192705542489,9365.562109512162,101.60591396119715,275.9575349337575,147.80720718054184,11549.798721594736,391.67709228180604,38.234433690999396,89.91818856611516,620.5635114212505,652.3176651813783,239.00569418666493,136.82382620087105,220.6529780786799
57980.077315645,44.99638811334148,1203.40710434699,149.3371965309715,740.7458654881318,9509.079090576406,95.78316678176407,279.43063640420473,160.73019202172802,8151.271620801834,431.4210609097685,33.641537642437044,78.7634077489968,646.7379497574148,653.3902699137901,235.9202971032572,139.34455793483872,221.33296288466966
55233.272645389996,39.905745772590734,1201.0101628350255,165.56884587953667,779.738788569551,9958.405288699007,101.1175975921924,285.005039378575,153.95394336738227,14340.893067433559,391.9176300731727,20.640364971589975,81.7551311305092,637.3511369131556,658.984813328727,216.60867552103775,132.13326896248043,227.6500764782695
57784.390578145,62.175043517937574,1198.0257780139457,151.49066991104678,760.0780666170991,9525.75888733779,87.72647991124731,286.75360789364186,159.7125551060734,8407.227633873794,426.7996604263841,40.699085117445776,83.0852084993441,641.6431496618641,663.1594919575057,229.49346234889742,139.8755353467021,215.72131197410772
58868.993096574995,47.0095471828901,1197.3762650407484,155.43932616297445,737.8441944681533,9525.722419946846,89.25679085859471,266.4659913468387,156.65053666493404,4869.695737757258,470.35163734100513,30.03587727764227,79.43159912986337,641.9516630292514,650.0000590888482,223.52549679423083,134.87026261340807,220.0664901272772
58345.68945962,38.77637673528786,1198.5277022989562,169.57538463914483,748.482129146882,9429.820185192222,92.23393084425022,306.48923104555445,168.37050840117155,10139.97050711284,416.3637061675914,30.457580137703104,84.25590638534744,641.5263214269324,650.1529177234813,221.3484152185909,140.4067075053248,228.75407592374435
57250.243806675004,47.4037058204106,1199.7893153861207,153.47264826071563,754.3260116420248,9566.20842369912,101.5203936421646,283.48763218652005,158.9135450673611,12070.556798609437,361.9542286350237,35.64195017747616,86.33111190144908,649.9882360661725,655.3883153683162,231.57452026168016,144.68932987334355,224.94939389476224
57057.33194507,48.45326855253219,1209.113624202246,153.196047837504,748.8408616109306,9448.885497663636,88.6084213975654,277.2322287809859,159.74326485322686,9965.713134947819,409.4978190177779,33.2272322241854,94.07084421129724,643.7954905799963,675.7930639833569,234.10903973766995,143.00315142441244,213.7360393372802
59600.409885665,56.50690467002967,1199.6144141794703,155.5564890459514,732.05232028057,9520.15953164295,94.06603502801282,278.09934522816945,167.1409257569315,7535.93913926942,419.74575171359095,33.76483671320267,79.81051292389968,630.2537748177733,663.8650728026207,228.1008202377887,129.69856499732015,226.4212617067195
57417.46519296,46.716780851045264,1214.1159885840902,150.39559293584932,727.1911179628819,9616.054930144079,103.35319640799764,284.89450683993584,163.0724519048053,15564.756351172184,350.3337378278575,25.691226339709033,78.95644627342686,636.475739278822,668.395124340449,229.36490265553473,136.10880875137997,222.64107944665852
58504.753725275004,57.75114913472368,1198.9423299883142,147.79185636368132,742.7594640162653,9461.74497233999,88.29662607475659,291.16378791556133,156.0099995894894,10593.561713722027,403.0497225667209,16.681055154489314,80.90331256755667,625.0183432419891,661.7788798334317,216.7136937093776,122.31321859655083,200.09363083511926
59441.23946674,43.2295549040816,1169.0212214400556,159.17769861048438,720.5200553877876,9437.015796683942,88.9686101325297,276.32447223987907,161.26103846604917,7983.660826150897,409.0992862974017,39.647049110734514,74.62380941357796,633.5780044057188,635.4234353559488,219.31773074138442,136.82478431192092,252.84504291034747
56887.007088915,55.12964977236749,1208.0957995388949,161.47459010147318,753.1452033416625,9553.106528256065,99.1521002355894,267.717826669417,167.7509566446734,14285.960302635336,347.56066174162316,30.571220078664652,84.80314775210054,645.2441844540306,651.829148545462,234.08416870672477,138.96105016056987,223.49934713140294
