time,TARGET aperture:0,aperture:1,aperture:2,aperture:3,aperture:4,aperture:5,aperture:6,aperture:7,aperture:8,aperture:9,aperture:10
55268.19212096,10.065879481741838,12.00452927788391,13.217453118344118,13.480215139259638,13.69274907594957,10.874365276199985,14.302787018077733,13.840708330458835,11.552195004461149,14.072329131777684,13.111118591632763
58381.760566705,10.185236578343057,12.042599880202832,13.131039908628752,13.493725312559873,13.692483673347095,10.953421276056694,14.25830662784181,13.849671472901028,11.557686538403505,14.157137290855125,13.130105591127522
58539.34959404,10.167803555007868,12.009289574487665,13.221754072732747,13.475549049071345,13.707260086361162,10.893766391687942,14.231825010637797,13.883578935998894,11.559466405083423,14.154134241028194,13.127573329510644
58747.41427019,10.115231320663774,12.02629222639286,13.182602699009154,13.446021860854257,13.645838117523523,10.769720401896256,14.243872326078355,13.800594677313054,11.560738092230087,14.171085319098353,13.103727367520149
58907.66521988,10.0188238928098,12.011464104325103,13.205520057119049,13.47769279323112,13.686908138947933,10.659609805125244,14.319346782115833,13.846328935724966,11.555187436732613,14.137989775818953,13.12131812210543
59113.012994405,10.085991509580413,12.018888645725271,13.162269057936262,13.495600286491042,13.679424845092884,10.797686381856419,14.263778376420076,13.862000514778218,11.566180516247584,14.147626297457775,13.127400037502625
59270.68509317,10.210368774566028,12.023912215809242,13.21189244348195,13.476521720544403,13.683384594925174,10.961324529158494,14.245823829925914,13.882813771550342,11.554917391923402,14.126979275165207,13.128188422166666
59477.134004245,10.285805507602227,12.050406641545354,13.204836612191723,13.496244398116149,13.714835679035328,11.033913980275615,14.258912341302565,13.896126823063044,11.57046207316881,14.140227690477714,13.132755893399493
59634.883433435,10.221135895225913,12.020380558013718,13.228386098296248,13.485590045573769,13.689408931214839,10.969704540734654,14.223369770366505,13.941258614873606,11.55956791447545,14.145380181136728,13.14789168374998
56733.001045385,10.200753245983261,12.009190715391592,13.178163325746201,13.465209635093347,13.646820870624252,10.985355816150674,14.187039791130717,13.918844161561582,11.547047878046307,14.102080977283379,13.10925678900341
56924.44885754,10.173613072402823,12.023408868971112,13.195263880243926,13.474210851198537,13.637196946802916,10.94114201657191,14.244540761223723,13.884563163047684,11.548011495962054,14.112278211643243,13.086352696860255
57091.995464399995,10.187354961637604,12.013946151718063,13.18844475366169,13.50014701653481,13.638077650083178,10.924196400825503,14.269419865055628,13.837033054353336,11.54962416084932,14.134524755071192,13.141182793703388
57286.271780985,10.153746645269814,12.02583296927388,13.195004191641585,13.469601704602665,13.64200679661024,10.926358196017624,14.276479504254151,13.838946495881244,11.557238882764382,14.118650760192052,13.111410285157147
57451.0768575,10.245606895584512,12.022934342034818,13.172774561742331,13.474989561267083,13.644903100130199,11.01238024050353,14.242528713369424,13.80074946525872,11.556794248071778,14.100016074407327,13.132353345754
57652.200427435004,10.156482815009541,12.02206327500533,13.208154959610573,13.480069186888613,13.627263998781578,10.901543615069869,14.253007096659255,13.885915582700141,11.548858726016094,14.142220417670513,13.123710684469042
57816.694435444995,10.207543317832577,12.018727281306058,13.197001507263536,13.493407976400851,13.654199705462544,10.966202236649185,14.238169495479761,13.882323045892964,11.56017540561584,14.110477239271132,13.119391124018103
58017.54081564,10.250510126201196,12.019910684480143,13.20567249602634,13.5169814774567,13.6820977121988,10.990337526020992,14.309820887879289,13.845747540180321,11.54882123058819,14.0690421620767,13.127423245201214
58173.687882325,10.19449003860829,12.017675455218804,13.192539337745286,13.493489271886729,13.640330591170931,10.922165765323017,14.246894495362968,13.829722406023485,11.559585629309492,14.205844261743005,13.141729029239476
