time,TARGET aperture:0,aperture:1,aperture:2,aperture:3,aperture:4,aperture:5,aperture:6,aperture:7,aperture:8,aperture:9,aperture:10,aperture:11,aperture:12
58155.179043945,12.574435610778357,12.622847147673214,12.839035692441188,13.760829959213659,12.595398765193805,9.342244417321288,17.44574286487721,9.496267390159472,13.922305025923853,14.171290555192378,11.924180546312655,13.378334069326522,13.794936487397415
59457.971391035,12.566763215879662,12.610218693226217,12.821036892183152,13.758693793746827,12.613960213753195,9.354372945471733,16.04317909259752,9.395639281880328,13.843051944749176,14.081882464102641,11.95619176561928,13.348195569559595,13.928185487486948
56712.79807273,12.52920416848441,12.5809710296681,12.765669808369756,13.672988564921946,12.644876062374484,9.334538322958993,16.477796326916184,9.55603515362867,13.900529805721073,14.051951896617632,11.92273195045186,13.403848570316667,13.873836424990316
57632.533206365,12.532079618262484,12.585146629179802,12.803861884792763,13.78591228320932,12.607408910796128,9.33543979278503,15.774513204279236,9.395835983451471,13.869488711282402,13.931444836525708,11.938920135907077,13.317077983843488,13.831939832585375
58519.47451758,12.531677525983676,12.575584981371435,12.853358855838428,13.789785476938528,12.610182234181904,9.350106753311403,16.962841622229273,9.457278798286954,13.750622363122133,13.967043987079114,11.939937287778813,13.368344092756756,13.91932714727386
55249.41590687,12.55745186534779,12.590131555135919,12.783755104922927,13.6446270411541,12.575315594397097,9.283856869914453,16.716316254964397,9.29377364775514,13.81633617654719,13.97537230444438,11.909330185332838,13.357704254638351,13.913413565070394
59617.360173565,12.56385049568219,12.628753582949557,12.799209360982621,13.6164812757352,12.613086240720724,9.347814925844618,20.967045626754025,9.486960603229763,13.798744543976298,14.090495553756009,11.937059903056499,13.43044622917925,13.932579778531704
57996.77327793,12.510868613118317,12.560805610861665,12.751672754017415,13.717833856379402,12.601503531221086,9.345883011984188,15.86292277498322,9.468377360472845,13.873636561193344,13.942506300002348,11.936174005064546,13.443144649306126,13.965747647511158
58362.508101515,12.582826550572733,12.6205531795859,12.813625128235651,13.74097438325485,12.63258833449812,9.34480416857115,15.687441271050465,9.484867787839761,13.785800656895825,14.112285493804928,11.942167836596086,13.45604075306474,13.926043389364859
57798.109775195,12.483390931818887,12.553050507684341,12.84033977052217,13.72188154877579,12.58123526686022,9.336209083281382,16.914129234282118,9.316808882070442,13.895826676377391,14.043467694038466,11.933318467743975,13.334675463044798,13.91581789395658
57267.661378079996,12.58065986043126,12.613140652048417,12.832965510098118,13.749528435011166,12.585617594714474,9.342566720590732,15.364006290523541,9.255184539485677,13.810440679599049,14.065803269576845,11.916902521847467,13.381895668429996,13.936482919121518
58886.455283899995,12.512729036737623,12.569987852087905,12.827834593678103,13.770766182075747,12.606619599750774,9.356081189017011,19.435766202332445,9.563849345797722,13.774466888297114,13.958238065700273,11.949424620519405,13.45128962285861,13.908801962666855
59092.268463789995,12.564539739679695,12.619525401924841,12.823110229960294,13.729766852689226,12.6081349183225,9.363793469075608,15.98347203464593,9.526052325049875,13.817634608605713,14.092849394669573,11.944429793041143,13.384138157837498,13.882934064063646
57075.196845315004,12.550459393157103,12.597362494664665,12.811132262378866,13.662198795798218,12.605405657126402,9.339040233067083,17.283628142368038,9.452896125143354,13.733063935155922,14.090750907226742,11.914130371689307,13.369589898431704,13.910865012837522
58728.037283180005,12.570402325190983,12.611747714546583,12.831034565507386,13.793620366604394,12.602354849228377,9.34698177487027,16.400069403160042,9.474713895257379,13.812279704562032,14.094835620882856,11.940728802941685,13.409043191335718,13.968866388920409
57432.311840785,12.51878935894997,12.563535850355358,12.818263336814686,13.736308519685819,12.580912137337597,9.327708089148603,16.40323925183764,9.349400963749435,13.834717100034366,14.00920201805528,11.91560872424534,13.386242352561458,13.936102753105574
56903.781970020005,12.500986643938605,12.55360960904533,12.818304502963242,13.682872243116178,12.594218414813644,9.328947009746967,15.508788897463454,9.614395689050738,13.770953813010408,14.010429385825292,11.920528737782902,13.366828386344928,13.89400223512117
59250.563704044995,12.534264370885213,12.588930668275061,12.84199472331026,13.798360926325804,12.588024166855256,9.337778201140212,19.22,9.602218359074431,13.716357681097625,14.091923655268875,11.925999379608735,13.407067036797267,13.930579777106265
