time,TARGET aperture:0,TARGET aperture:1,TARGET aperture:2,aperture:3,aperture:4,aperture:5,aperture:6,aperture:7,aperture:8,aperture:9,aperture:10,aperture:11,aperture:12,aperture:13,aperture:14,aperture:15,aperture:16,aperture:17,aperture:18,aperture:19,aperture:20,aperture:21
59075.068324165,13.153517470281509,13.60755326261595,10.948757653687883,13.234988402220266,13.657688156195467,11.040406320254663,12.018370705815773,11.82008490736773,12.575727997096397,10.197067312248082,19.22,13.779048444763642,7.071082189022802,11.202570587387884,19.22,11.346581661171337,11.039810673233454,19.22,10.907589537235795,12.165491426108753,9.399088529860414,14.005254258611503
57784.030910245,13.174781115313529,13.563274936227097,10.930375414750644,13.249904636481615,13.624644288984692,11.012102453377215,12.00500954128693,11.806906145761848,12.564683706543107,10.238750337986813,19.22,13.352799650282291,6.859788103471181,11.152708673494223,19.22,11.237585958409825,19.22,19.22,10.894286301516113,12.148165991316672,7.994242585842637,14.048184734415683
55232.810026420004,13.123208658355006,13.673911805793315,10.917990651082507,13.200397360822375,13.700576927452571,10.988617027978608,11.98411211635339,11.735609516286388,12.586665603066711,10.325703114253953,19.22,12.956004619669823,7.200095543998191,11.134549989117001,19.22,11.250317640647166,11.529584308589845,19.22,10.870658359961515,12.090825759563641,9.268671271647467,14.018359769151656
57979.553002165005,13.161502078603204,13.603719184919106,10.946333369682556,13.239065744529388,13.650472180475115,11.028903835054352,12.012834649963859,11.813474698584535,12.566169968008028,10.164073068615863,19.22,13.28030102523517,7.066737307700138,11.181657011707388,19.22,11.333803290014027,11.729908669949001,19.22,10.910176619507991,12.149487555279324,7.950841265218561,14.065313704315896
58868.470628605006,13.152116401076007,13.58738654587108,10.925503867328231,13.230549488246536,13.658944525537299,11.017162827022178,12.037014015593767,11.79668152510135,12.578893804415467,10.41335692392072,19.22,13.106328901371729,6.682507533073532,11.17564460043477,19.22,11.252195843198145,19.22,19.22,10.899799176628507,12.149559182390826,8.757274646837567,14.110848580605854
57613.991464495,13.122903219991708,13.651393394882012,10.947479345652953,13.206412410220914,13.716973102321463,11.03421399449121,12.02344905141366,11.822473766189267,12.550052585849764,10.246029374896862,19.22,13.323924986197447,6.861314504161737,11.162482424726509,19.22,11.317045678199195,19.22,19.22,10.902993401606034,12.179360111733184,8.187218682282717,14.080599453241687
59234.220375355,13.20409511668625,13.676677184322582,10.902910406946866,13.276953605518523,13.735630434494528,10.987125204058646,12.035769531007888,11.843771129300361,12.631645931146286,10.245065526044216,19.22,12.837934372960657,6.927069368074187,11.181791893372328,19.22,11.252561417707794,12.045343518049636,19.22,10.88557970803651,12.167017132960781,8.803129070139494,13.970748363513218
58140.912228995,13.160380512396165,13.647865613751343,10.945534472226692,13.252235973918557,13.735439089583602,11.034174911824648,12.027226978565743,11.832378331556235,12.569173789959445,10.193033266227884,19.22,13.322487594964413,7.119344796841625,11.17601289076186,19.22,11.259563451233431,12.672989526962281,19.22,10.89702045144979,12.14648948766995,8.499719216060818,14.1121167903927
58713.251388805,13.181493303973017,13.66745501662577,10.962586774110285,13.245805141664423,13.710716583042982,11.04666338670525,12.034790586256495,11.876589918216224,12.569676160017172,10.432966119028837,19.22,13.962743718940997,6.265533045283132,11.194300047881264,19.22,11.34644830220183,19.22,19.22,10.89902681856236,12.172330202021593,9.048831609196974,14.10377321874258
56695.9378394,13.103076560430079,13.61326246581079,10.92710854750688,13.177704644643354,13.67384806419525,11.01370533938283,12.008656457176738,11.810551322448164,12.504184893417099,10.297210403869991,19.22,13.147876251182163,6.71185136679435,11.167302709601765,19.22,11.256902300486896,19.22,19.22,10.907146738282075,12.121219438393,7.954779890528655,14.2041815034304
56886.54606195,13.156607122485694,13.58315004998101,10.926775442397256,13.248099029278734,13.637126107414193,11.010283003696047,12.018833822135386,11.799206021621066,12.543160534504187,10.28887347375271,19.22,12.710594809822558,7.023329210875073,11.181329747282758,19.22,11.333829435088537,13.130256694344242,19.22,10.915107839984769,12.151184440448962,7.897175659001534,14.109711418651992
58504.361714905,13.173429049882182,13.637975985924546,10.941884795765269,13.236344560590515,13.697469275434491,11.02502945854609,12.027009303642684,11.810465281572839,12.607789067127873,10.13550593089269,19.22,13.103960307221127,6.83039294176447,11.176456224404438,19.22,11.24792428544699,19.22,19.22,10.893029114207044,12.126515354409266,8.85370011439615,13.960892604250974
59440.71604506,13.18855364967771,13.67505937778919,10.974562165814671,13.271516507315114,13.71772027336249,11.064366359530041,12.056606825356932,11.826395307709912,12.61473852612899,10.244141404227998,19.22,13.6705843606552,6.7153212145374495,11.210291492492567,19.22,11.348527591764784,19.22,19.22,10.88270184353609,12.145176539398873,9.335591207708655,14.050356575248733
57417.006902220004,13.119100598359111,13.528031982637827,10.9274998366096,13.219815438956475,13.608451770565463,11.011908786639626,12.023358240167852,11.811758487107115,12.584510276842224,10.266994419932717,19.22,13.466047729225943,6.7814243613154135,11.175091611456653,19.22,11.25912485472532,19.22,19.22,10.903359996051172,12.093109964248992,8.763680262181877,14.032891269267958
58345.165591945,13.11867544454032,13.656693097806492,10.950126779093129,13.183313342229349,13.722738162992083,11.03805687946335,12.012922378398809,11.813297897507521,12.565836763208925,10.136962617953635,19.22,13.6645911602745,7.075190018145052,11.186017114554144,19.22,11.342881681464602,11.87266772342784,19.22,10.880035332453504,12.108669448936261,8.632892796903237,14.003867704822738
57056.87270021,13.155778226041145,13.61520294761502,10.941521604258922,13.262143524336373,13.678148554152672,11.025012476834183,12.016660922636051,11.826003520592083,12.592242478491919,10.277962264108858,19.22,13.382872380134232,7.041417608689794,11.16205029732092,19.22,11.233886451037996,19.22,19.22,10.905941164263872,12.128795377764787,8.773253089594458,14.053054805823681
57249.78405289,13.16372994244388,13.687379699166476,10.935231583305363,13.241538194442564,13.752962934021532,11.017793276540354,12.013278817487713,11.767958013445124,12.537169052228803,10.132674779981244,19.22,13.176079508789199,7.203033434310041,11.180305674278483,19.22,11.32525088917621,12.43523687864039,19.22,10.894091816450288,12.135723834754954,8.406627466645078,13.967742470542861
59599.757214335,13.171451425464186,13.621526922164263,10.965690039729298,13.240805304111346,13.693172845359127,11.049262734511128,12.018402848883017,11.801609830846317,12.553380413219994,10.141227038804148,19.22,12.794001644970011,6.9535009852068095,11.17026549953356,19.22,11.234682471193771,12.093369929000493,19.22,10.871815223726784,12.157536077787956,9.196143491343411,14.082348454569281
