time,aperture:0,aperture:1,aperture:2,aperture:3,aperture:4,aperture:5,aperture:6
59074.80664526,668.6510003153131,218.2650895076997,100.48993366716707,76.88136467599402,308.40131516333025,199.7402416026022,558.9236700413201
57613.72933953,688.4175634529322,216.40617972802278,109.91294234489398,85.72437778615854,314.45915718147535,204.75445387307886,567.9209988334422
58140.781325335,693.504553397299,214.9761410962031,116.99344328790282,82.56482256088808,309.85087205364965,216.7381992524199,571.0217567996722
58868.209139975,683.0495451810981,207.94635021767735,111.00187908652329,72.9741192511456,328.4349469419414,211.6324603897902,574.301677860567
56695.740338125004,701.731049276206,214.80502635737253,106.6216709207696,85.48433119998965,330.1017243710254,218.35369182063303,587.4767395359975
59234.220502690005,693.4495025972219,213.34914524898642,105.32585462039765,89.06051792558824,337.22107304541197,208.11516598938817,567.8704239784142
57783.83455408,694.7398427619667,215.65705327941117,104.03687500277651,84.49521767566841,327.4882843585334,212.63586518454326,583.8694131674551
58713.055034000005,677.7419173598538,219.20434646074756,110.72805063450149,76.80942198127332,309.7800008388324,209.52971439913995,555.6350845729863
55232.479270665004,714.7759927140893,227.0428207486824,113.34534252191524,94.04423326344237,338.176060977451,208.72081781266905,593.6338199542377
57979.35652,690.3801410039619,223.55788768758543,99.31154054767327,80.57979260412287,311.26337016922736,217.47887438050523,572.1330649206617
57056.675708185,696.1043298963132,214.14193770183482,118.48008192718522,81.06503614312899,334.6227275980166,210.11720533928977,578.6038401916121
58504.034710575,701.785138941854,215.75709967545222,112.92232169884915,82.88418513240771,324.4246426762402,207.4262896789211,577.1967595936977
57249.390324045,682.6870444068068,218.0289162150535,107.99241940783526,81.07842079548696,316.56013556727737,212.56025428287143,568.5052813281845
59440.45449338,685.8800382258473,211.2272702435421,99.1957576134125,78.05759163127094,315.7409692463798,198.85277819988556,543.9172092526231
56886.282790929996,698.397202356967,213.84896067001475,117.1402916675874,86.18410372826206,320.9851880854562,203.8430095002031,581.7592608308125
58344.903530794996,686.8699927041611,203.48111706623777,109.00504064266967,74.0191795529972,311.1929969109962,207.2469371392843,558.1445526563388
57416.74477613,707.2879158413168,229.76924550790244,115.65914903650321,80.68906755942565,322.9259995328885,202.15869442466604,578.2098381992604
59599.56130467,681.0254870218483,211.7969757862317,114.79164546136731,88.81239775422415,321.181823062991,209.28561781029558,589.1941098555903
